player name,position,playerid
James Johnson,F,201949
Luis Scola,F,2449
DeMarre Carroll,F,201960
Cory Joseph,G,202709
Kyle Lowry,G,200768
Bismack Biyombo,C-F,202687
DeMar DeRozan,G,201942
Jonas Valanciunas,C,202685
Bruno Caboclo,F,203998
Terrence Ross,F-G,203082
Patrick Patterson,F,202335
Delon Wright,G,1626153
Lucas Nogueira,C,203512
Marvin Williams,F,101107
Jeremy Lamb,G,203087
Nicolas Batum,G-F,201587
Jeremy Lin,G,202391
Aaron Harrison,G,1626151
Kemba Walker,G,202689
PJ Hairston,F-G,203798
Brian Roberts,G,203148
Troy Daniels,G,203584
Cody Zeller,C-F,203469
Frank Kaminsky,C,1626163
Tyler Hansbrough,F,201946
Spencer Hawes,F-C,201150
