Quarter,Game Clock (s),Game Clock (mm:ss)
Q1,701.62,11:41.62
Q1,686.03,11:26.03
Q1,667.43,11:07.43
Q1,659.28,10:59.28
Q1,633.0,10:33.00
Q1,619.83,10:19.83
Q1,597.55,9:57.55
Q1,596.55,9:56.55
Q1,594.27,9:54.27
Q1,588.35,9:48.35
Q1,568.99,9:28.99
Q1,554.47,9:14.47
Q1,536.55,8:56.55
Q1,517.0,8:37.00
Q1,503.31,8:23.31
Q1,492.35,8:12.35
Q1,471.32,7:51.32
Q1,450.44,7:30.44
Q1,445.32,7:25.32
Q1,432.68,7:12.68
Q1,414.36,6:54.36
Q1,394.53,6:34.53
Q1,386.33,6:26.33
Q1,374.0,6:14.00
Q1,344.65,5:44.65
Q1,320.01,5:20.01
Q1,298.98,4:58.98
Q1,285.98,4:45.98
Q1,262.0,4:22.00
Q1,244.82,4:04.82
Q1,227.94,3:47.94
Q1,221.46,3:41.46
Q1,220.46,3:40.46
Q1,211.7,3:31.70
Q1,193.29,3:13.29
Q1,173.41,2:53.41
Q1,165.53,2:45.53
Q1,155.57,2:35.57
Q1,146.73,2:26.73
Q1,145.65,2:25.65
Q1,133.0,2:13.00
Q1,122.79,2:02.79
Q1,104.0,1:44.00
Q1,87.97,1:27.97
Q1,76.93,1:16.93
Q1,66.37,1:06.37
Q1,46.08,0:46.08
Q1,34.24,0:34.24
Q1,22.17,0:22.17
Q1,21.17,0:21.17
Q1,20.17,0:20.17
Q1,2.81,0:02.81
Q2,703.9,11:43.90
Q2,699.7,11:39.70
Q2,695.9,11:35.90
Q2,679.82,11:19.82
Q2,660.66,11:00.66
Q2,659.66,10:59.66
Q2,634.61,10:34.61
Q2,616.75,10:16.75
Q2,591.5,9:51.50
Q2,571.75,9:31.75
Q2,570.71,9:30.71
Q2,561.43,9:21.43
Q2,537.24,8:57.24
Q2,526.46,8:46.46
Q2,512.54,8:32.54
Q2,505.5,8:25.50
Q2,501.0,8:21.00
Q2,480.98,8:00.98
Q2,455.86,7:35.86
Q2,442.94,7:22.94
Q2,426.46,7:06.46
Q2,411.98,6:51.98
Q2,391.3,6:31.30
Q2,364.34,6:04.34
Q2,343.48,5:43.48
Q2,342.48,5:42.48
Q2,325.88,5:25.88
Q2,302.0,5:02.00
Q2,286.99,4:46.99
Q2,261.0,4:21.00
Q2,250.38,4:10.38
Q2,249.38,4:09.38
Q2,229.46,3:49.46
Q2,202.46,3:22.46
Q2,201.34,3:21.34
Q2,200.34,3:20.34
Q2,184.0,3:04.00
Q2,173.46,2:53.46
Q2,162.0,2:42.00
Q2,145.89,2:25.89
Q2,131.57,2:11.57
Q2,107.1,1:47.10
Q2,90.1,1:30.10
Q2,75.18,1:15.18
Q2,67.31,1:07.31
Q2,51.55,0:51.55
Q2,38.57,0:38.57
Q2,18.2,0:18.20
Q2,6.4,0:06.40
Q2,0.09,0:00.09
Q3,711.24,11:51.24
Q3,677.98,11:17.98
Q3,656.1,10:56.10
Q3,655.1,10:55.10
Q3,653.62,10:53.62
Q3,643.94,10:43.94
Q3,611.06,10:11.06
Q3,590.98,9:50.98
Q3,577.62,9:37.62
Q3,576.62,9:36.62
Q3,575.62,9:35.62
Q3,574.62,9:34.62
Q3,570.58,9:30.58
Q3,559.14,9:19.14
Q3,550.1,9:10.10
Q3,539.0,8:59.00
Q3,522.48,8:42.48
Q3,520.0,8:40.00
Q3,505.14,8:25.14
Q3,482.54,8:02.54
Q3,456.86,7:36.86
Q3,428.19,7:08.19
Q3,419.23,6:59.23
Q3,416.59,6:56.59
Q3,403.57,6:43.57
Q3,381.49,6:21.49
Q3,370.73,6:10.73
Q3,347.25,5:47.25
Q3,325.93,5:25.93
Q3,305.54,5:05.54
Q3,288.58,4:48.58
Q3,261.58,4:21.58
Q3,250.97,4:10.97
Q3,249.97,4:09.97
Q3,235.59,3:55.59
Q3,226.0,3:46.00
Q3,207.53,3:27.53
Q3,193.33,3:13.33
Q3,173.45,2:53.45
Q3,159.89,2:39.89
Q3,132.82,2:12.82
Q3,122.54,2:02.54
Q3,102.0,1:42.00
Q3,90.3,1:30.30
Q3,64.25,1:04.25
Q3,47.27,0:47.27
Q3,34.16,0:34.16
Q3,1.89,0:01.89
Q4,708.16,11:48.16
Q4,686.08,11:26.08
Q4,682.88,11:22.88
Q4,672.4,11:12.40
Q4,663.86,11:03.86
Q4,646.36,10:46.36
Q4,621.3,10:21.30
Q4,584.68,9:44.68
Q4,558.41,9:18.41
Q4,548.09,9:08.09
Q4,532.46,8:52.46
Q4,517.86,8:37.86
Q4,511.94,8:31.94
Q4,484.07,8:04.07
Q4,468.39,7:48.39
Q4,451.62,7:31.62
Q4,417.14,6:57.14
Q4,403.9,6:43.90
Q4,394.79,6:34.79
Q4,384.43,6:24.43
Q4,377.47,6:17.47
Q4,356.0,5:56.00
Q4,345.74,5:45.74
Q4,316.86,5:16.86
Q4,295.71,4:55.71
Q4,286.19,4:46.19
Q4,260.35,4:20.35
Q4,247.99,4:07.99
Q4,222.44,3:42.44
Q4,210.16,3:30.16
Q4,187.53,3:07.53
Q4,175.65,2:55.65
Q4,152.14,2:32.14
Q4,117.26,1:57.26
Q4,103.94,1:43.94
Q4,81.78,1:21.78
Q4,50.63,0:50.63
Q4,49.63,0:49.63
Q4,29.1,0:29.10
Q4,20.1,0:20.10
Q4,16.3,0:16.30
Q4,6.94,0:06.94
